State Code,Claim Amount,Coverage,Education,EmploymentStatus,Location Code,Monthly Premium Auto,Number of Policies,Policy,Claim Reason,Vehicle Class
KS,276.3519279,Basic,Bachelor,Employed,Suburban,69,1,Corporate,Collision,Two-Door Car
NE,697.9535903,Extended,Bachelor,Unemployed,Suburban,94,8,Personal,Scratch/Dent,Four-Door Car
OK,1288.743165,Premium,Bachelor,Employed,Suburban,108,2,Personal,Collision,Two-Door Car
MO,764.5861827,Basic,Bachelor,Unemployed,Suburban,106,7,Corporate,Collision,SUV
KS,281.3692575,Basic,Bachelor,Employed,Rural,73,1,Personal,Collision,Four-Door Car
IA,825.62978,Basic,Bachelor,Employed,Rural,69,2,Personal,Hail,Two-Door Car
IA,538.0898636,Basic,College,Employed,Suburban,67,9,Corporate,Collision,Four-Door Car
NE,721.6100311,Premium,Master,Unemployed,Urban,101,4,Corporate,Collision,Four-Door Car
IA,2412.750402,Basic,Bachelor,Medical Leave,Suburban,71,2,Corporate,Collision,Four-Door Car
IA,738.8178085,Extended,College,Employed,Urban,93,8,Special,Hail,Four-Door Car
MO,473.8992022,Basic,College,Unemployed,Suburban,67,3,Personal,Collision,Four-Door Car
MO,819.7197077999998,Basic,College,Unemployed,Suburban,110,3,Personal,Hail,SUV
MO,879.8797002999999,Premium,Master,Employed,Urban,110,3,Corporate,Hail,Four-Door Car
NE,881.9018934000002,Basic,High School or Below,Employed,Suburban,110,8,Corporate,Hail,SUV
MO,538.4431665,Basic,College,Employed,Urban,70,8,Corporate,Other,Four-Door Car
IA,746.3139377,Basic,Bachelor,Employed,Rural,64,2,Corporate,Hail,Four-Door Car
OK,256.6867823,Basic,High School or Below,Medical Leave,Suburban,67,1,Personal,Hail,Two-Door Car
MO,394.5241604,Basic,College,Medical Leave,Suburban,101,1,Personal,Scratch/Dent,SUV
IA,571.0333115,Basic,College,Employed,Urban,72,7,Personal,Hail,Four-Door Car
MO,816.2617052999999,Premium,High School or Below,Employed,Suburban,101,3,Corporate,Collision,Four-Door Car
IA,287.2051273,Basic,High School or Below,Employed,Suburban,74,1,Personal,Collision,Two-Door Car
KS,304.1791561,Extended,Bachelor,Medical Leave,Suburban,79,1,Personal,Other,Four-Door Car
NE,2412.750402,Basic,Bachelor,Medical Leave,Suburban,71,2,Personal,Collision,Four-Door Car
OK,245.0190996,Basic,Bachelor,Unemployed,Suburban,73,1,Corporate,Collision,Four-Door Car
MO,239.210789,Basic,Bachelor,Medical Leave,Suburban,61,1,Corporate,Hail,Four-Door Car
IA,580.2065977999998,Basic,College,Employed,Suburban,72,3,Personal,Hail,Four-Door Car
MO,394.6372085,Premium,Bachelor,Unemployed,Suburban,111,1,Personal,Collision,Four-Door Car
KS,534.6916576,Extended,Master,Medical Leave,Urban,139,1,Corporate,Collision,SUV
NE,1290.256014,Premium,College,Employed,Suburban,111,2,Personal,Collision,Four-Door Car
IA,323.5360468,Extended,Master,Employed,Suburban,80,1,Personal,Hail,Four-Door Car
NE,245.458354,Basic,College,Employed,Suburban,63,1,Personal,Other,Four-Door Car
OK,1897.545611,Extended,High School or Below,Employed,Urban,237,6,Corporate,Hail,SUV
MO,471.5321344,Basic,Bachelor,Unemployed,Urban,65,3,Personal,Collision,Four-Door Car
KS,501.8885233,Basic,Bachelor,Employed,Suburban,63,6,Corporate,Collision,Two-Door Car
IA,493.2916345,Basic,Bachelor,Employed,Rural,62,8,Corporate,Scratch/Dent,Four-Door Car
NE,574.4229745,Basic,High School or Below,Employed,Urban,71,6,Personal,Collision,Four-Door Car
MO,1389.173567,Premium,Bachelor,Employed,Suburban,117,2,Personal,Collision,Four-Door Car
IA,738.0976717,Extended,Master,Employed,Suburban,91,8,Personal,Hail,Four-Door Car
IA,309.0034104,Extended,Bachelor,Unemployed,Suburban,90,1,Personal,Scratch/Dent,Two-Door Car
NE,252.16330950000003,Basic,High School or Below,Employed,Rural,66,1,Personal,Collision,Four-Door Car
OK,265.2061785,Basic,High School or Below,Unemployed,Suburban,70,1,Corporate,Scratch/Dent,Two-Door Car
IA,277.10450310000004,Basic,College,Employed,Rural,71,1,Corporate,Hail,Two-Door Car
MO,393.900637,Extended,Bachelor,Employed,Suburban,99,1,Personal,Hail,Four-Door Car
NE,1223.187968,Basic,High School or Below,Employed,Suburban,103,2,Personal,Other,Sports Car
KS,244.3665166,Basic,College,Employed,Suburban,61,1,Special,Hail,Four-Door Car
IA,1281.910289,Premium,Doctor,Medical Leave,Rural,172,3,Personal,Collision,SUV
NE,446.8510542,Basic,Bachelor,Unemployed,Suburban,73,5,Personal,Scratch/Dent,Four-Door Car
IA,551.4344017999998,Basic,High School or Below,Employed,Suburban,71,4,Personal,Other,Two-Door Car
MO,334.3875326000001,Extended,Bachelor,Unemployed,Suburban,92,1,Corporate,Hail,Four-Door Car
NE,229.44789269999995,Basic,High School or Below,Unemployed,Suburban,62,1,Personal,Other,Four-Door Car
IA,3670.742639,Basic,College,Employed,Suburban,104,2,Personal,Collision,SUV
MO,3347.334946,Basic,Bachelor,Employed,Suburban,106,2,Corporate,Collision,SUV
OK,798.3431709,Basic,High School or Below,Employed,Rural,69,2,Special,Other,Four-Door Car
KS,485.4745666,Basic,Bachelor,Employed,Suburban,64,3,Personal,Other,Four-Door Car
MO,429.3997319,Premium,Bachelor,Medical Leave,Suburban,113,1,Personal,Collision,Four-Door Car
NE,716.4395542999998,Extended,College,Employed,Suburban,91,3,Corporate,Scratch/Dent,Four-Door Car
MO,761.95158,Basic,College,Employed,Urban,64,2,Special,Hail,Four-Door Car
NE,395.80028230000005,Basic,High School or Below,Unemployed,Suburban,101,1,Personal,Collision,SUV
IA,449.9493252,Extended,High School or Below,Medical Leave,Suburban,124,1,Personal,Collision,SUV
IA,405.9567414,Premium,Master,Medical Leave,Suburban,108,1,Personal,Collision,Four-Door Car
NE,445.8113369,Basic,Bachelor,Retired,Suburban,65,3,Personal,Collision,Four-Door Car
MO,811.0333138999998,Premium,Bachelor,Medical Leave,Suburban,105,6,Personal,Collision,Two-Door Car
IA,333.9764873000001,Extended,Bachelor,Unemployed,Suburban,94,1,Personal,Collision,Two-Door Car
MO,2426.101777,Basic,High School or Below,Employed,Rural,100,2,Personal,Collision,SUV
NE,661.3973653,Basic,Bachelor,Unemployed,Suburban,63,2,Personal,Scratch/Dent,Four-Door Car
KS,293.0693543,Basic,College,Employed,Suburban,73,1,Personal,Scratch/Dent,Four-Door Car
IA,867.2194272,Basic,College,Employed,Suburban,112,3,Corporate,Collision,SUV
NE,1163.866926,Extended,High School or Below,Employed,Urban,97,2,Personal,Other,Two-Door Car
IA,684.6150322999998,Extended,Bachelor,Unemployed,Suburban,95,5,Personal,Collision,Two-Door Car
MO,1172.777648,Premium,College,Medical Leave,Suburban,102,2,Personal,Scratch/Dent,Four-Door Car
IA,2264.383478,Basic,High School or Below,Employed,Rural,113,2,Personal,Other,SUV
IA,261.4474305,Basic,Master,Employed,Rural,65,1,Personal,Hail,Two-Door Car
IA,245.1752695,Basic,Master,Medical Leave,Suburban,64,1,Personal,Collision,Four-Door Car
IA,678.1270203,Basic,Bachelor,Unemployed,Suburban,104,5,Personal,Collision,Sports Car
IA,497.4801539,Basic,Bachelor,Employed,Suburban,65,9,Personal,Hail,Two-Door Car
IA,859.1604933,Basic,Bachelor,Employed,Suburban,73,2,Personal,Hail,Four-Door Car
IA,559.2161392,Basic,High School or Below,Employed,Rural,71,6,Personal,Hail,Four-Door Car
OK,800.9472833,Basic,College,Employed,Suburban,67,2,Personal,Hail,Four-Door Car
KS,1131.808982,Extended,College,Employed,Rural,99,2,Personal,Collision,Four-Door Car
MO,5816.6553509999985,Basic,Bachelor,Employed,Rural,186,2,Personal,Hail,Sports Car
MO,802.5229357999998,Extended,College,Unemployed,Rural,77,2,Personal,Scratch/Dent,Two-Door Car
MO,578.0182197,Basic,High School or Below,Employed,Suburban,74,8,Personal,Hail,Four-Door Car
MO,411.8539113,Basic,Doctor,Employed,Suburban,102,1,Personal,Scratch/Dent,SUV
OK,252.307015,Basic,Master,Employed,Suburban,63,1,Personal,Hail,Four-Door Car
IA,655.4216396,Extended,College,Medical Leave,Suburban,90,3,Personal,Hail,Four-Door Car
KS,770.3397294,Basic,High School or Below,Employed,Suburban,66,2,Personal,Collision,Four-Door Car
MO,592.6729379,Extended,College,Retired,Suburban,96,5,Personal,Collision,Four-Door Car
MO,268.3470677,Basic,Bachelor,Employed,Urban,69,1,Corporate,Scratch/Dent,Four-Door Car
IA,269.5182419,Basic,Bachelor,Employed,Suburban,67,1,Personal,Scratch/Dent,Four-Door Car
MO,604.7025160000002,Extended,College,Employed,Suburban,76,4,Personal,Collision,Four-Door Car
IA,1317.101282,Premium,College,Medical Leave,Suburban,119,2,Personal,Hail,Two-Door Car
KS,1065.688195,Extended,Bachelor,Employed,Suburban,88,2,Corporate,Hail,Two-Door Car
IA,252.7653796,Basic,Bachelor,Employed,Rural,63,1,Corporate,Collision,Four-Door Car
IA,267.2095756,Basic,Bachelor,Employed,Suburban,67,1,Corporate,Collision,Two-Door Car
